sample_id,bloque,tratamiento,genotipo,A_net,gs,Ci,E,Fv_Fm,SPAD,CTD,K_mg_g,Na_mg_g,Ca_mg_g,Mg_mg_g,P_mg_g,Fe_ug_g,Zn_ug_g,Mn_ug_g,Glucosa,Fructosa,Sacarosa,Rafinosa,Prolina,GABA,Malato,Citrato,tipo_dato
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,24.45,0.372,216.7,4.81,0.81,45.5,4.18,38.17,1.21,8.71,2.88,4.2,109.2,37.8,66,106.46,75.64,93.55,24.95,42.05,48.2,57.36,61.72,simulado
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,20.88,0.305,225.4,3.63,0.828,45.8,4.45,38.99,1.26,9.11,3.08,4.09,104.3,43.4,72.3,105.01,83.98,90.4,25.68,32.94,49.31,73.22,58.65,simulado
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,24.58,0.347,242.2,4.62,0.832,46.6,4.7,40.38,1.12,8.46,3.2,3.58,100.4,40.3,68,135.83,90.28,89.65,21.54,40.77,41.67,69.04,48.96,simulado
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,22.37,0.291,212.2,3.36,0.812,46.6,4.85,36.14,1.41,8.66,3.21,4.08,111.2,43.4,63.9,134.03,90.96,81.74,25.37,42.39,50.39,67.14,59.66,simulado
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,20.79,0.256,207.9,3.32,0.83,42.9,4.02,41.2,1.1,8.78,3.11,3.77,105.5,40.1,69.2,130.32,84.56,92.89,21.86,40.19,51.34,72.08,63.42,simulado
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,17.81,0.161,280,2.45,0.788,40.3,3.1,31.49,1.62,10.96,3.32,4.27,101.5,37.5,63.6,106.6,76.96,82.49,36.44,59.14,55.39,59.63,56.92,simulado
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,10.71,0.141,308.3,1.56,0.696,34.9,0.96,26.73,1.97,11.33,2.99,4.19,106.1,37.9,57.9,81.38,67.11,68.72,51.97,70.58,76.46,53.95,41.94,simulado
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,18.61,0.196,296.6,2.34,0.818,42.9,3,36.06,1.92,11.21,3.17,3.87,103.5,42.1,61.5,100.26,66.43,78.6,37.78,61.98,74.71,55.08,53.46,simulado
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,9.07,0.157,279.4,1.98,0.675,34.9,1.63,27.51,1.89,11.26,3.22,3.97,120.1,42.6,58.5,95.65,83.75,70.33,42.98,59.92,66.63,61.39,45.35,simulado
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,9.88,0.115,300.3,1.34,0.665,40.9,1.22,25.88,1.89,10.74,3.3,3.84,115.3,39.7,63.8,98.57,79.65,62.53,43.6,64.72,78.86,49.37,43.78,simulado
