sample_id,bloque,tratamiento,genotipo,tipo_dato,variable,value,layer
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,A_net,24.45,Fisiología
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,gs,0.372,Fisiología
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Ci,216.7,Fisiología
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,E,4.81,Fisiología
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Fv_Fm,0.81,Fisiología
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,SPAD,45.5,Fisiología
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,CTD,4.18,Fisiología
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,K_mg_g,38.17,Ionómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Na_mg_g,1.21,Ionómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Ca_mg_g,8.71,Ionómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Mg_mg_g,2.88,Ionómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,P_mg_g,4.2,Ionómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Fe_ug_g,109.2,Ionómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Zn_ug_g,37.8,Ionómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Mn_ug_g,66,Ionómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Glucosa,106.46,Metabolómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Fructosa,75.64,Metabolómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Sacarosa,93.55,Metabolómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Rafinosa,24.95,Metabolómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Prolina,42.05,Metabolómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,GABA,48.2,Metabolómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Malato,57.36,Metabolómica
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,simulado,Citrato,61.72,Metabolómica
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,A_net,20.88,Fisiología
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,simulado,gs,0.305,Fisiología
