sample_id,bloque,tratamiento,genotipo,K_mg_g,Na_mg_g,Ca_mg_g,Mg_mg_g,P_mg_g,Fe_ug_g,Zn_ug_g,Mn_ug_g
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,38.17,1.21,8.71,2.88,4.2,109.2,37.8,66.0
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,38.99,1.26,9.11,3.08,4.09,104.3,43.4,72.3
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,40.38,1.12,8.46,3.2,3.58,100.4,40.3,68.0
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,36.14,1.41,8.66,3.21,4.08,111.2,43.4,63.9
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,41.2,1.1,8.78,3.11,3.77,105.5,40.1,69.2
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,31.49,1.62,10.96,3.32,4.27,101.5,37.5,63.6
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,26.73,1.97,11.33,2.99,4.19,106.1,37.9,57.9
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,36.06,1.92,11.21,3.17,3.87,103.5,42.1,61.5
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,27.51,1.89,11.26,3.22,3.97,120.1,42.6,58.5
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,25.88,1.89,10.74,3.3,3.84,115.3,39.7,63.8
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,37.69,1.2,8.51,3.34,4.08,110.0,43.6,65.1
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,37.26,1.11,8.7,2.98,4.34,118.9,37.8,70.9
TRIGO_G3_B2_Ctrl,Bloque_2,Control,G3,37.12,1.21,9.08,2.89,3.85,110.5,41.8,66.1
TRIGO_G4_B2_Ctrl,Bloque_2,Control,G4,39.27,1.13,8.88,3.46,4.23,104.8,39.0,64.2
TRIGO_G5_B2_Ctrl,Bloque_2,Control,G5,38.54,1.3,9.36,3.27,3.97,119.1,40.4,67.9
TRIGO_G1_B2_Heat,Bloque_2,Calor,G1,33.75,1.78,10.74,3.05,3.9,113.2,42.1,57.3
TRIGO_G2_B2_Heat,Bloque_2,Calor,G2,28.62,1.68,11.72,3.51,4.07,103.8,39.8,65.8
TRIGO_G3_B2_Heat,Bloque_2,Calor,G3,35.55,1.75,11.31,3.22,3.84,108.9,41.0,67.7
TRIGO_G4_B2_Heat,Bloque_2,Calor,G4,28.46,1.86,12.51,3.44,3.96,104.7,44.5,59.8
TRIGO_G5_B2_Heat,Bloque_2,Calor,G5,28.13,1.72,10.72,3.21,3.8,101.7,40.6,69.0
TRIGO_G1_B3_Ctrl,Bloque_3,Control,G1,36.76,1.12,8.16,3.61,4.59,115.6,44.1,66.2
TRIGO_G2_B3_Ctrl,Bloque_3,Control,G2,37.16,1.22,8.26,3.55,4.11,121.5,39.2,63.5
TRIGO_G3_B3_Ctrl,Bloque_3,Control,G3,39.12,1.22,7.65,3.15,3.93,101.6,43.3,67.2
TRIGO_G4_B3_Ctrl,Bloque_3,Control,G4,38.92,1.15,8.29,3.39,4.15,113.4,45.6,72.9
TRIGO_G5_B3_Ctrl,Bloque_3,Control,G5,37.97,1.15,8.2,3.33,4.07,106.1,35.8,65.6
TRIGO_G1_B3_Heat,Bloque_3,Calor,G1,35.21,1.83,11.29,3.47,4.04,107.1,40.0,65.9
TRIGO_G2_B3_Heat,Bloque_3,Calor,G2,29.3,1.58,11.41,3.01,4.25,106.4,43.4,63.4
TRIGO_G3_B3_Heat,Bloque_3,Calor,G3,33.94,1.59,12.33,3.34,4.29,104.8,41.5,62.0
TRIGO_G4_B3_Heat,Bloque_3,Calor,G4,27.98,1.69,11.77,3.41,3.97,110.3,42.9,67.9
TRIGO_G5_B3_Heat,Bloque_3,Calor,G5,26.64,1.77,10.85,2.85,3.96,105.0,40.5,62.0
TRIGO_G1_B4_Ctrl,Bloque_4,Control,G1,37.67,1.23,8.14,2.96,4.03,111.6,42.2,65.3
TRIGO_G2_B4_Ctrl,Bloque_4,Control,G2,39.65,1.35,8.7,2.79,3.52,109.7,41.6,63.3
TRIGO_G3_B4_Ctrl,Bloque_4,Control,G3,39.24,1.29,7.97,3.15,3.72,108.6,44.9,66.7
TRIGO_G4_B4_Ctrl,Bloque_4,Control,G4,39.22,1.18,9.23,3.34,4.44,104.6,42.6,66.2
TRIGO_G5_B4_Ctrl,Bloque_4,Control,G5,39.96,1.2,8.97,3.5,4.51,106.5,42.8,68.6
TRIGO_G1_B4_Heat,Bloque_4,Calor,G1,35.04,1.65,10.92,3.21,4.04,114.5,41.0,63.2
TRIGO_G2_B4_Heat,Bloque_4,Calor,G2,28.23,1.8,10.17,3.53,4.24,113.0,40.8,64.1
TRIGO_G3_B4_Heat,Bloque_4,Calor,G3,34.44,1.76,12.01,2.92,4.18,104.1,40.9,61.6
TRIGO_G4_B4_Heat,Bloque_4,Calor,G4,27.58,1.85,11.13,2.86,4.87,110.6,43.0,63.4
TRIGO_G5_B4_Heat,Bloque_4,Calor,G5,26.77,1.68,11.94,3.19,4.38,114.5,40.9,66.3
