"sample_id","bloque","tratamiento","genotipo","Glucosa","Fructosa","Sacarosa","Rafinosa","Prolina","GABA","Malato","Citrato","tipo_dato"
"TRIGO_G1_B1_Ctrl","Bloque_1","Control","G1",106.46,75.64,93.55,24.95,42.05,48.2,57.36,61.72,"simulado"
"TRIGO_G2_B1_Ctrl","Bloque_1","Control","G2",105.01,83.98,90.4,25.68,32.94,49.31,73.22,58.65,"simulado"
"TRIGO_G3_B1_Ctrl","Bloque_1","Control","G3",135.83,90.28,89.65,21.54,40.77,41.67,69.04,48.96,"simulado"
"TRIGO_G4_B1_Ctrl","Bloque_1","Control","G4",134.03,90.96,81.74,25.37,42.39,50.39,67.14,59.66,"simulado"
"TRIGO_G5_B1_Ctrl","Bloque_1","Control","G5",130.32,84.56,92.89,21.86,40.19,51.34,72.08,63.42,"simulado"
"TRIGO_G1_B1_Heat","Bloque_1","Calor","G1",106.6,76.96,82.49,36.44,59.14,55.39,59.63,56.92,"simulado"
"TRIGO_G2_B1_Heat","Bloque_1","Calor","G2",81.38,67.11,68.72,51.97,70.58,76.46,53.95,41.94,"simulado"
"TRIGO_G3_B1_Heat","Bloque_1","Calor","G3",100.26,66.43,78.6,37.78,61.98,74.71,55.08,53.46,"simulado"
"TRIGO_G4_B1_Heat","Bloque_1","Calor","G4",95.65,83.75,70.33,42.98,59.92,66.63,61.39,45.35,"simulado"
"TRIGO_G5_B1_Heat","Bloque_1","Calor","G5",98.57,79.65,62.53,43.6,64.72,78.86,49.37,43.78,"simulado"
"TRIGO_G1_B2_Ctrl","Bloque_2","Control","G1",123.4,77.15,99.31,27.51,41.03,53.25,72.33,67.78,"simulado"
"TRIGO_G2_B2_Ctrl","Bloque_2","Control","G2",118.77,79.57,93.27,26.38,40.98,58.31,71.59,57.17,"simulado"
"TRIGO_G3_B2_Ctrl","Bloque_2","Control","G3",137.68,90.47,94.25,25.95,45.01,61.26,71.58,65.08,"simulado"
"TRIGO_G4_B2_Ctrl","Bloque_2","Control","G4",135.9,84.94,102.73,23.14,42.74,57.38,69.26,49.24,"simulado"
"TRIGO_G5_B2_Ctrl","Bloque_2","Control","G5",138.23,83.83,91.82,23.99,43.47,59.99,71.49,62.83,"simulado"
"TRIGO_G1_B2_Heat","Bloque_2","Calor","G1",108.04,87.73,93.29,38.98,60.6,60.71,71.5,58.35,"simulado"
"TRIGO_G2_B2_Heat","Bloque_2","Calor","G2",74.93,62.17,71.22,51.93,69.62,74.26,57.18,46.61,"simulado"
"TRIGO_G3_B2_Heat","Bloque_2","Calor","G3",108.01,64.48,58.33,42.28,65.7,70.94,66.48,47.06,"simulado"
"TRIGO_G4_B2_Heat","Bloque_2","Calor","G4",98.11,77.34,79.04,44.86,65.64,71.63,60.06,56.6,"simulado"
"TRIGO_G5_B2_Heat","Bloque_2","Calor","G5",109.67,76.5,52.6,46.79,69.69,73.02,70.91,45.1,"simulado"
"TRIGO_G1_B3_Ctrl","Bloque_3","Control","G1",110.3,95.42,99.97,21.84,42.65,47.97,73.11,58.44,"simulado"
"TRIGO_G2_B3_Ctrl","Bloque_3","Control","G2",122.06,88.72,86.64,26.62,38.81,47.17,67.2,57.15,"simulado"
