sample_id,bloque,tratamiento,genotipo,A_net,gs,Ci,E,Fv_Fm,SPAD,CTD
TRIGO_G1_B1_Ctrl,Bloque_1,Control,G1,24.45,0.372,216.7,4.81,0.81,45.5,4.18
TRIGO_G2_B1_Ctrl,Bloque_1,Control,G2,20.88,0.305,225.4,3.63,0.828,45.8,4.45
TRIGO_G3_B1_Ctrl,Bloque_1,Control,G3,24.58,0.347,242.2,4.62,0.832,46.6,4.7
TRIGO_G4_B1_Ctrl,Bloque_1,Control,G4,22.37,0.291,212.2,3.36,0.812,46.6,4.85
TRIGO_G5_B1_Ctrl,Bloque_1,Control,G5,20.79,0.256,207.9,3.32,0.83,42.9,4.02
TRIGO_G1_B1_Heat,Bloque_1,Calor,G1,17.81,0.161,280.0,2.45,0.788,40.3,3.1
TRIGO_G2_B1_Heat,Bloque_1,Calor,G2,10.71,0.141,308.3,1.56,0.696,34.9,0.96
TRIGO_G3_B1_Heat,Bloque_1,Calor,G3,18.61,0.196,296.6,2.34,0.818,42.9,3.0
TRIGO_G4_B1_Heat,Bloque_1,Calor,G4,9.07,0.157,279.4,1.98,0.675,34.9,1.63
TRIGO_G5_B1_Heat,Bloque_1,Calor,G5,9.88,0.115,300.3,1.34,0.665,40.9,1.22
TRIGO_G1_B2_Ctrl,Bloque_2,Control,G1,23.58,0.36,221.5,4.19,0.811,45.9,4.0
TRIGO_G2_B2_Ctrl,Bloque_2,Control,G2,20.58,0.288,234.5,3.61,0.812,46.7,4.87
TRIGO_G3_B2_Ctrl,Bloque_2,Control,G3,24.22,0.33,209.5,3.91,0.819,46.4,5.35
TRIGO_G4_B2_Ctrl,Bloque_2,Control,G4,19.28,0.318,215.1,4.07,0.823,46.0,4.91
TRIGO_G5_B2_Ctrl,Bloque_2,Control,G5,19.45,0.331,214.1,3.95,0.823,44.5,3.89
TRIGO_G1_B2_Heat,Bloque_2,Calor,G1,17.55,0.194,260.7,2.73,0.797,43.4,3.05
TRIGO_G2_B2_Heat,Bloque_2,Calor,G2,8.64,0.133,295.9,1.51,0.68,32.6,1.48
TRIGO_G3_B2_Heat,Bloque_2,Calor,G3,18.25,0.169,295.2,2.05,0.809,41.6,2.99
TRIGO_G4_B2_Heat,Bloque_2,Calor,G4,8.72,0.157,290.1,2.13,0.675,33.1,1.23
TRIGO_G5_B2_Heat,Bloque_2,Calor,G5,8.32,0.17,285.3,1.88,0.734,34.1,1.33
TRIGO_G1_B3_Ctrl,Bloque_3,Control,G1,25.32,0.336,198.8,4.25,0.826,48.5,4.13
TRIGO_G2_B3_Ctrl,Bloque_3,Control,G2,20.8,0.294,213.7,3.94,0.811,42.2,4.48
TRIGO_G3_B3_Ctrl,Bloque_3,Control,G3,24.06,0.317,214.9,3.64,0.809,46.0,3.2
TRIGO_G4_B3_Ctrl,Bloque_3,Control,G4,19.72,0.264,208.0,3.34,0.825,42.6,4.09
TRIGO_G5_B3_Ctrl,Bloque_3,Control,G5,20.51,0.324,217.6,4.1,0.818,44.3,4.4
TRIGO_G1_B3_Heat,Bloque_3,Calor,G1,18.09,0.202,298.1,2.68,0.794,44.0,2.83
TRIGO_G2_B3_Heat,Bloque_3,Calor,G2,8.53,0.149,327.7,1.62,0.689,34.1,1.59
TRIGO_G3_B3_Heat,Bloque_3,Calor,G3,18.3,0.195,293.5,2.17,0.779,40.1,2.77
TRIGO_G4_B3_Heat,Bloque_3,Calor,G4,8.97,0.157,295.2,2.07,0.663,32.7,0.97
TRIGO_G5_B3_Heat,Bloque_3,Calor,G5,9.22,0.137,288.5,1.77,0.65,35.2,1.14
TRIGO_G1_B4_Ctrl,Bloque_4,Control,G1,23.46,0.361,191.2,4.56,0.816,43.9,5.08
TRIGO_G2_B4_Ctrl,Bloque_4,Control,G2,22.67,0.346,219.6,4.39,0.829,45.3,3.93
TRIGO_G3_B4_Ctrl,Bloque_4,Control,G3,23.99,0.349,220.9,4.23,0.822,45.1,4.97
TRIGO_G4_B4_Ctrl,Bloque_4,Control,G4,20.05,0.347,256.9,4.38,0.808,44.0,4.5
TRIGO_G5_B4_Ctrl,Bloque_4,Control,G5,21.74,0.221,217.1,2.82,0.822,48.2,4.11
TRIGO_G1_B4_Heat,Bloque_4,Calor,G1,17.02,0.191,296.0,2.24,0.788,43.1,3.34
TRIGO_G2_B4_Heat,Bloque_4,Calor,G2,9.62,0.152,289.3,2.27,0.662,30.4,1.16
TRIGO_G3_B4_Heat,Bloque_4,Calor,G3,16.43,0.169,266.6,2.21,0.783,42.3,3.02
TRIGO_G4_B4_Heat,Bloque_4,Calor,G4,8.39,0.152,312.9,1.66,0.681,32.8,1.12
TRIGO_G5_B4_Heat,Bloque_4,Calor,G5,9.61,0.11,305.0,1.51,0.657,35.5,0.98
