layer,variable,Calor,Control,percent_change
Fisiología,A_net,12.59,22.12,-43.1
Fisiología,CTD,1.95,4.41,-55.8
Fisiología,Ci,293.23,217.89,34.6
Fisiología,E,2.01,3.96,-49.2
Fisiología,Fv_Fm,0.72,0.82,-11.6
Fisiología,SPAD,37.44,45.35,-17.4
Fisiología,gs,0.16,0.32,-49.6
Ionómica,Ca_mg_g,11.32,8.59,31.7
Ionómica,Fe_ug_g,108.46,109.66,-1.1
Ionómica,K_mg_g,30.37,38.52,-21.2
Ionómica,Mg_mg_g,3.21,3.21,0
Ionómica,Mn_ug_g,63.24,66.96,-5.6
Ionómica,Na_mg_g,1.76,1.21,46
Ionómica,P_mg_g,4.1,4.06,0.8
Ionómica,Zn_ug_g,41.13,41.48,-0.8
Metabolómica,Citrato,48.92,59.44,-17.7
Metabolómica,Fructosa,73.21,85.18,-14.1
Metabolómica,GABA,69.62,49.83,39.7
Metabolómica,Glucosa,98.74,124.31,-20.6
Metabolómica,Malato,60.62,69,-12.1
Metabolómica,Prolina,64.69,41.04,57.6
Metabolómica,Rafinosa,43.9,24.91,76.2
Metabolómica,Sacarosa,72.58,94.96,-23.6
