layer,variable,n_total,n_missing,percent_missing
Fisiología,A_net,40,0,0
Fisiología,CTD,40,0,0
Fisiología,Ci,40,0,0
Fisiología,E,40,0,0
Fisiología,Fv_Fm,40,0,0
Fisiología,SPAD,40,0,0
Fisiología,gs,40,0,0
Ionómica,Ca_mg_g,40,0,0
Ionómica,Fe_ug_g,40,0,0
Ionómica,K_mg_g,40,0,0
Ionómica,Mg_mg_g,40,0,0
Ionómica,Mn_ug_g,40,0,0
Ionómica,Na_mg_g,40,0,0
Ionómica,P_mg_g,40,0,0
Ionómica,Zn_ug_g,40,0,0
Metabolómica,Citrato,40,0,0
Metabolómica,Fructosa,40,0,0
Metabolómica,GABA,40,0,0
Metabolómica,Glucosa,40,0,0
Metabolómica,Malato,40,0,0
Metabolómica,Prolina,40,0,0
Metabolómica,Rafinosa,40,0,0
Metabolómica,Sacarosa,40,0,0
