layer,variable,tratamiento,genotipo,n,n_missing,mean,sd,median,q1,q3
Fisiología,A_net,Calor,G1,4,0,17.62,0.46,17.68,17.42,17.88
Fisiología,A_net,Calor,G2,4,0,9.38,1.02,9.13,8.61,9.89
Fisiología,A_net,Calor,G3,4,0,17.9,0.99,18.27,17.8,18.38
Fisiología,A_net,Calor,G4,4,0,8.79,0.3,8.85,8.64,9
Fisiología,A_net,Calor,G5,4,0,9.26,0.68,9.41,9,9.68
Fisiología,A_net,Control,G1,4,0,24.2,0.87,24.02,23.55,24.67
Fisiología,A_net,Control,G2,4,0,21.23,0.97,20.84,20.75,21.33
Fisiología,A_net,Control,G3,4,0,24.21,0.26,24.14,24.04,24.31
Fisiología,A_net,Control,G4,4,0,20.36,1.38,19.88,19.61,20.63
Fisiología,A_net,Control,G5,4,0,20.62,0.94,20.65,20.25,21.03
Fisiología,CTD,Calor,G1,4,0,3.08,0.21,3.08,2.99,3.16
Fisiología,CTD,Calor,G2,4,0,1.3,0.29,1.32,1.11,1.51
Fisiología,CTD,Calor,G3,4,0,2.95,0.12,3,2.94,3
Fisiología,CTD,Calor,G4,4,0,1.24,0.28,1.18,1.08,1.33
Fisiología,CTD,Calor,G5,4,0,1.17,0.15,1.18,1.1,1.25
Fisiología,CTD,Control,G1,4,0,4.35,0.49,4.15,4.1,4.4
Fisiología,CTD,Control,G2,4,0,4.43,0.39,4.46,4.32,4.58
Fisiología,CTD,Control,G3,4,0,4.56,0.94,4.84,4.32,5.06
Fisiología,CTD,Control,G4,4,0,4.59,0.38,4.68,4.4,4.86
Fisiología,CTD,Control,G5,4,0,4.11,0.22,4.06,3.99,4.18
Fisiología,Ci,Calor,G1,4,0,283.7,17.33,288,275.18,296.52
Fisiología,Ci,Calor,G2,4,0,305.3,16.88,302.1,294.25,313.15
Fisiología,Ci,Calor,G3,4,0,287.98,14.31,294.35,286.78,295.55
Fisiología,Ci,Calor,G4,4,0,294.4,13.98,292.65,287.42,299.62
Fisiología,Ci,Calor,G5,4,0,294.78,9.38,294.4,287.7,301.48
Fisiología,Ci,Control,G1,4,0,207.05,14.39,207.75,196.9,217.9
Fisiología,Ci,Control,G2,4,0,223.3,8.86,222.5,218.12,227.68
Fisiología,Ci,Control,G3,4,0,221.88,14.33,217.9,213.55,226.23
Fisiología,Ci,Control,G4,4,0,223.05,22.75,213.65,211.15,225.55
Fisiología,Ci,Control,G5,4,0,214.18,4.46,215.6,212.55,217.22
Fisiología,E,Calor,G1,4,0,2.53,0.23,2.57,2.4,2.69
Fisiología,E,Calor,G2,4,0,1.74,0.36,1.59,1.55,1.78
Fisiología,E,Calor,G3,4,0,2.19,0.12,2.19,2.14,2.24
Fisiología,E,Calor,G4,4,0,1.96,0.21,2.02,1.9,2.08
Fisiología,E,Calor,G5,4,0,1.62,0.25,1.64,1.47,1.8
Fisiología,E,Control,G1,4,0,4.45,0.29,4.4,4.24,4.62
Fisiología,E,Control,G2,4,0,3.89,0.36,3.79,3.62,4.05
Fisiología,E,Control,G3,4,0,4.1,0.42,4.07,3.84,4.33
Fisiología,E,Control,G4,4,0,3.79,0.52,3.71,3.36,4.15
Fisiología,E,Control,G5,4,0,3.55,0.59,3.63,3.19,3.99
Fisiología,Fv_Fm,Calor,G1,4,0,0.79,0,0.79,0.79,0.79
Fisiología,Fv_Fm,Calor,G2,4,0,0.68,0.01,0.68,0.68,0.69
