layer,variable,tratamiento,n,n_missing,mean,sd,median,q1,q3
Fisiología,A_net,Calor,20,0,12.59,4.39,9.75,8.91,17.62
Fisiología,A_net,Control,20,0,22.12,1.96,22.06,20.56,24.01
Fisiología,CTD,Calor,20,0,1.95,0.92,1.54,1.15,2.99
Fisiología,CTD,Control,20,0,4.41,0.51,4.43,4.07,4.85
Fisiología,Ci,Calor,20,0,293.23,15.03,295.2,287.7,298.65
Fisiología,Ci,Control,20,0,217.89,14.32,215.9,211.52,221.05
Fisiología,E,Calor,20,0,2.01,0.4,2.06,1.65,2.25
Fisiología,E,Control,20,0,3.96,0.51,4.01,3.62,4.28
Fisiología,Fv_Fm,Calor,20,0,0.72,0.06,0.69,0.67,0.79
Fisiología,Fv_Fm,Control,20,0,0.82,0.01,0.82,0.81,0.83
Fisiología,SPAD,Calor,20,0,37.44,4.52,35.35,33.85,41.78
Fisiología,SPAD,Control,20,0,45.35,1.7,45.65,44.22,46.45
Fisiología,gs,Calor,20,0,0.16,0.03,0.16,0.15,0.18
Fisiología,gs,Control,20,0,0.32,0.04,0.33,0.29,0.35
Ionómica,Ca_mg_g,Calor,20,0,11.32,0.59,11.27,10.9,11.73
Ionómica,Ca_mg_g,Control,20,0,8.59,0.45,8.68,8.25,8.9
Ionómica,Fe_ug_g,Calor,20,0,108.46,5.22,106.75,104.55,113.05
Ionómica,Fe_ug_g,Control,20,0,109.66,5.81,109.45,105.33,112.05
Ionómica,K_mg_g,Calor,20,0,30.37,3.6,28.54,27.56,34.06
Ionómica,K_mg_g,Control,20,0,38.52,1.3,38.73,37.57,39.25
Ionómica,Mg_mg_g,Calor,20,0,3.21,0.21,3.21,3.04,3.36
Ionómica,Mg_mg_g,Control,20,0,3.21,0.23,3.2,3.06,3.35
Ionómica,Mn_ug_g,Calor,20,0,63.24,3.29,63.4,61.58,65.82
Ionómica,Mn_ug_g,Control,20,0,66.96,2.74,66.2,65.25,68.15
Ionómica,Na_mg_g,Calor,20,0,1.76,0.11,1.77,1.68,1.85
Ionómica,Na_mg_g,Control,20,0,1.21,0.08,1.21,1.15,1.24
Ionómica,P_mg_g,Calor,20,0,4.1,0.25,4.04,3.94,4.24
Ionómica,P_mg_g,Control,20,0,4.06,0.29,4.08,3.91,4.21
Ionómica,Zn_ug_g,Calor,20,0,41.13,1.73,40.95,40.38,42.23
Ionómica,Zn_ug_g,Control,20,0,41.48,2.61,42,39.88,43.4
Metabolómica,Citrato,Calor,20,0,48.92,7.04,47.84,45.29,55.09
Metabolómica,Citrato,Control,20,0,59.44,5.46,59.33,57.16,62.98
Metabolómica,Fructosa,Calor,20,0,73.21,7.82,74.43,66.94,77.37
Metabolómica,Fructosa,Control,20,0,85.18,6.41,84.75,79.1,90.59
Metabolómica,GABA,Calor,20,0,69.62,7.13,71.25,65.78,74.37
Metabolómica,GABA,Control,20,0,49.83,5.55,48.29,46.42,51.82
Metabolómica,Glucosa,Calor,20,0,98.74,10.5,100.47,97.5,106.95
Metabolómica,Glucosa,Control,20,0,124.31,11.86,127.66,116.65,134.48
Metabolómica,Malato,Calor,20,0,60.62,7.13,59.33,56.98,63.75
Metabolómica,Malato,Control,20,0,69,5.61,70.86,66.45,72.43
Metabolómica,Prolina,Calor,20,0,64.69,5.22,65.18,60.46,69.64
Metabolómica,Prolina,Control,20,0,41.04,2.75,41.12,40.53,42.67
Metabolómica,Rafinosa,Calor,20,0,43.9,5.11,43.29,40.74,46.88
Metabolómica,Rafinosa,Control,20,0,24.91,1.82,25.31,23.9,26.08
Metabolómica,Sacarosa,Calor,20,0,72.58,11.35,70.78,64.75,79.85
Metabolómica,Sacarosa,Control,20,0,94.96,6.95,93.49,90.93,99.47
